text,sentiment
@pallomatamirys @Anitta mds ficou mto perfeitaaa,Positive
Só eu e o motorista https://t.co/PSRYif3qmk,Negative
"@taylorbocats @eittanitta Disse o fã encubado, vc fala mais da Anitta do que da corcunda de notre dame, da um tempo gay obcecado",Positive
@alfonsolacruzz Brasillllll 🇧🇷💙✨️,Positive
Queria um duo ou um trio pra subir esse elo maldito pqp,Negative
"🚨AGORA: Yuri Meirelles, modelo do clipe de ‘Funk Rave’, de Anitta, respondeu a polêmica do print vazado. 

“Isso aí foi há muito tempo atrás, depois de eu ter recebido um nud3 absurdo. Quem me conhece sabe da minha índole ❤️.” https://t.co/YtJILa9pfD",Negative
@Gigi23gigi2023 @natiette @bh_anitta KKKKKKKKKKKKKKKKKKKKKKKK vocês são muito engraçados vey,Positive
@choquei É pra esse tipo de cara que a @Anitta dá moral kkkkkk acho é pouco que essa música tá flopada,Negative
"A Anitta deve ter ego ferido com a karol g até hoje porque ela recusou downtown, oque eu acho infantil pq a karol serviria em um funk melhor do que a rosalia que fica fazendo desfeita dela…",Negative
@rdalponttt @Limmirio Minha cantoras favoritas são MC pipokinha Anitta MC Mirella MC Loma😍😘😘😘🥰🥰🥰🥰🥰🥰🥰🥰🥰🤣🤣🤣🤣🤣🤣🥰🥰🥰😂😂😂🔞🔞🤨😐🤣💀💀😐😐,Positive
oq podemos esperar de quem encosta a boca na anitta,Negative
E as gay babando em mais um padrão homofóbico… só podia ser amigo da Anitta msm 😀,Negative
@gabita_gabs Meu Deus esse parece o outfit da Anitta tbm 😶😶😶😶😶😶😶😶,Negative
@forumpandlr @Anitta corre aqui. Já já ela substitui o boy do clipe. 😂😂😂😂😂😂😂😂😂😂😂😂,Negative
@ConexaoAnitta @Anitta @QGdaAnitta se tiver vídeos da produção do álbum. Posta pra gente depois ? 🥲,Positive
@siteptbr eh esse o tipo de gente que a anitta gosta de se envolver,Negative
"@choquei O cara ainda se acha o famosinho só porque gravou um clipe com a anitta, PQP! KKKKKKKKKKKKKKKKKKKKK",Negative
só a anitta mesmo pra dar fama pra alguém assim,Negative
@caiox25 @sweetenerp4tt @alfonsolacruzz @Anitta Macetou em mo,Positive
@forumpandlr Culpa dos fãs da Anitta que deu palco pra hétero top escroto,Negative
@helkyx escuta anitta https://t.co/I0F8mlVwDk,Positive
"@siteptbr Oxen, e qual a novidade Anitta chamava Pablo de ""trava"" nos audioa ""vazados""",Negative
Verdade mesmo sempre falei! Xuxa maior ato internacional BR depois Anitta,Positive
@joaofigueiredof inspiração da anitta kakakak,Positive
@falsocaio Só para os conservadores de família e que preservam os costumes e falam mal da Anitta...,Negative
@siteptbr Anitta jogou ele no vespeiro de gay sem noção e o cara deve tá puto com as mensagens pedindo nude e o caralho a 4,Negative
"funk rave tá consumindo minha mente 
valeu por tudo anitta",Positive
"isso aí anitta, você sempre dando palco p esses tipos de homem",Negative
esse jurou mto q ia fazer clipe com a anitta e não ia receber cantada de homem viu acorda filho,Negative
@TheCoelhoArt1 E a Anitta n faz nada,Negative
@forumpandlr Enquanto a Anitta é inspiração para os vídeos da Reality Kings panceta,Positive
@siteptbr como sempre a anitta escolhendo  os piores https://t.co/Lhna5QI1jR,Negative
@pallomatamirys Cantora Anitta gasta milhões para ficar parecida com blogueira Palloma,Negative
@muitohumildee Sua namorada ta solteira? Ou fazem trisal?,Negative
@AcessoAnittaR @freddepalma @Anitta adorooo essas,Positive
@choquei O pessoal botando a culpa na Anitta já já https://t.co/FCeIPTheyM,Negative
@forumpandlr Mas ai é old né Pan? Todo mundo que anda com a Anitta é criminoso https://t.co/kMAB26sTxp,Negative
"@poxawiu @mateusrodry .@anitta queremos seu apoio

 https://t.co/5nO34uatlp",Positive
"@_estanilo @vlucasrocha @forumpandlr O cara ia pedir parceria, ele tinha boa quantidade de seguidores antes mesmo desse surto de fama por causa da Anitta.",Negative
@Oneres5 @midsfolk @isissw1ft @forumpandlr a Anitta sendo a maior prosty do mundo e você falando da Taylor kkkkk a piada já vem pronta,Positive
e tipo assim a anitta não fica nem 1 mês com ouvintes estáveis  https://t.co/HOOiZTADgk,Negative
@onlytiago_ @aniweeknd @ludmonet anitta out do global tbm kkkkkk no se ve ela la aaa,Negative
"Anitta pelo amor de Deus pode editar esse clipe, tira a parte do beco, o atorzinho lá já deixou subir pra cabeça! 
Não vou passar pano pra esse homofóbico não! 
#Funkrave #Anitta #Anitters  #LGBTQIA #Orgulho",Negative
"Tô cheia de aula pra revisar mas tô aqui no tiktok vendo e revendo a coreografia da Anitta pra aprender como se fosse dançarina profissional dela 😂😂
Tem piedade de mim senhooor",Positive
não só leu como tiramos nota máxima eh isso um beijo da anitta https://t.co/oG3oDA7Usc,Positive
"Natti Natasha diz que esta louca para vir ao Brasil e tambem pra ir em uma festa com a Anitta.

QUEREMOS FEAT DAS MAMIS🔥 https://t.co/QnABnPVCCZ",Positive
@forumpandlr Comenta @Anitta,Negative
A única pessoa capaz de derrotar o ego da Anitta é a blogs jakakajkakakakak,Negative
"cara acha q eh um deus só pq anitta ""mamou"" ele é? 
como tem gente mal educada por ai mkkk
https://t.co/0QelX6DVky",Negative
@JohntheJonas Como assim usou a Selena de inspiração  ? Eu to por fora dessa série só vi uns vídeos e nem cheguei perto dos ep,Negative
"n me choca ter aparecido em um clipe da anitta, essa ai so com gnt de baixo nível msm",Negative
"a megan já tá há +300 dias sem lançar uma msca sequer, enquanto isso a anitta lançou +15 nesse período e em 4 línguas diferentes para 4 mercados diferentes e msm assim não consegue 500k de ouvintes de diferença  https://t.co/HOOiZTADgk",Negative
O que Anitta fez no clipe com ele não foi sexualizar? https://t.co/a904RqbO1j,Negative
"@Oneres5 @isissw1ft @nilsjobergg @forumpandlr Um caso não anula outro amor, não é pq 4 swifties foram r4c1st4s e gordofobicos que todos são,isso é generalização, agora desde sempre grande parte dos anitters fazem ataques r4c1st4s a lud só por receio de ela superar a anitta",Negative
esperando a anitta trazer minha água saborizada https://t.co/CSLLR9i8Pf,Positive
"@anittagolden 500 pessoas na live, vocês se metem em cada coisa anitters https://t.co/if4alKuXyk",Negative
@magaIigna a surra na anitta N para,Negative
Só esperando a Anitta assumir que se inspirou no noiadance pra fazer funk rave,Negative
"@pray__att Na verdade não, mas é a primeira que está virando trend de futebolistas o que é muito bom. Se o Vini Jr ou o Neymar postagem um vídeo com a música fazendo a trend da embaixadinha seria perfeito porque aí o hit era certo",Negative
@expositou @alfonsolacruzz @Anitta @QGdaAnitta grosso do crlho,Negative
@IDhouglas @alfonsolacruzz @Anitta obrigado amg 😘😘 https://t.co/MJfMU4odwL,Positive
"A obsessão, amg da pra curtir outras BR além da Anitta e ta tudo bem, pra que fingir??",Positive
"@onlytiago_ @ludmonet Kkkkkkkkkkkk, obrigado pelo o que? 
Gênero machista, mor. Ludmilla fez seu nome.
Anitta batendo no máximo 15k de pessoas, oh do",Negative
@FriendDaAnitta @choquei O povo está expondo Tudo alias. Igual o guri lá do clipe da Anitta,Negative
@siteptbr E esses aí o tipo que Anitta gosta,Negative
A billboard tambem falou q a anitta ia levar o grammy,Positive
@slizzXO igual a anitta? to brincando,Negative
Amo dar hate na Anitta no twitter e dar stream em tudo que ela faz ao mesmo tempo,Positive
"é de lei: se tem envolvimento com anitta, n tem carater",Negative
td q eu sei sobre anitta eh contra minha vontade,Negative
@lenypiper @alfonsolacruzz @Anitta Amg suas artes estão impecáveis,Positive
anitta maior aliada da xausa lgbt eles dizem,Negative
@SchetzRivera @geogataaa @forumpandlr Desde quando a Anitta é hétero? 🤔,Negative
A Anitta trabalha com cada pessoa...,Negative
@sahfrommg esnobe dms essa anitta,Negative
"silenciei Taylor Swift e Anitta, nunca tive tanta paz na tml",Negative
"tu sobe pelas paredes com o
macete da anitta",Positive
@choquei kkkk eh so andar com a anitta que fica qssim,Negative
"@AcessoAnittaR Acho que Anitta deveria estar lançando músicas assim… entendo a estratégia de Apresnetar o Funk, mas acho que agr agr não seria o momento… ela acabou de alcançou o top 1 global com Envolver ( Reggaetton) e deveria se estabilizar com mais músicas no mercado latino.",Positive
"@donadogueto @ludmonet Obrigado pagode, anitta tem isso no pop e funk bjs",Positive
"a TAMANCADA que a anitta e a cazzu deram no arcangel se repetindo, agora com a maria esmurrando o coscu arrr

 https://t.co/5nO34uatlp",Positive
"@Oneres5 @folkstann @forumpandlr pega os tweets q vc da rt e curte e pega os meus pra ver quem é a hipocrita aqui, pq nunca falei mal do corpo da anitta ou dei rt em coisas pesadas como vc",Positive
"@lasensxcion Só depois de uns dois álbuns de reggaeton que consolidasse ela na América Latina, mas como ela quis diferente a resposta é: sim! 😍",Negative
"@siteptbr Aí Anitta para de inserir esse tipinho no meio da mídia, chega de macho tóxico.",Negative
"@ismarkII Ele compartilhou no post nos stories, a nossa publicação é sobre isso",Negative
"medo desse negócio de algumas pessoas estarem pedindo remix de Quítate La Ropa com a Anitta acabar trazendo hate para o La Cruz, se você gostou da música vai lá ouvir nas plataformas digitais e pronto",Negative
@ctrlcharlesss @envolxver vamos fingir que eu acredito https://t.co/lnScP4VmUF,Positive
"por que esses v14d0s estão babando o ovo daquele bofe que a anitta botou no clipe?????? o cara não tem nada demais kkkkkkkk vão dar biscoito pra outros gays, obsessão esquisita por hétero eu hein",Negative
"@JustSpeakingNow @starkbizzler @ryanito74 Engraçado que fã da camilla pode falar da Anitta, mais não ao contrário? Acorda",Positive
Esses gays dizendo que ele é  gay zzzzzz bem feito pro viad  kkkkkkk vindo dessa Anitta que só anda com gente coisa mamou um homofóbico ainda,Negative
Meu sonho utimamente é ir num show do major rd,Negative
@expositou @alfonsolacruzz @Anitta @QGdaAnitta mas eu não tô pedindo nenhum remix,Negative
"@rickyhall55 oi bby, tusk bem esta noite? 🫶🏼",Negative
Clipe da Anitta gente,Positive
"@outyeju @mahbbrnd @leavemelon3ly Kkkkkkkkk chora mais que tá pouco hater, Anira é muito lendária né? E a Ana Castela tambem, que inclusive é fã da Patroa Anitta. https://t.co/pN5e6gd4l1",Positive
@forumpandlr Por isso que a anitta mamou ele né ela adora um homem escroto,Negative
@_LucasEstevao_ @Anitta Vale ressaltar que vai ser minha primeira noite na metro. Kkkk,Positive
"Espero que a anitta se pronuncie contra esse cara, pq se não ela só vai alimentar mais o boato de que só é lgbt+ e ajuda na causa quando convém.",Negative
@siteptbr Não tem a mesma emoção,Negative
Amor vc n é a anitta,Positive
por isso que eu fico igual a anitta,Positive
@lenypiper @alfonsolacruzz @Anitta Eu jurei que era real kkkkkkk,Negative
"@forumpandlr Não me espanta, a Anitta só se envolve com homem que não presta, pra combinar com ela, que tb não presta. Isso que dá fazer pessoas idiotas ficarem famosas",Negative
Juro eu e o João discutindo Anitta x Ludmilla é tudo pra mim.,Positive
@ferabraao @Anitta Elas viradas dançando só os hits,Positive
Se esse remix sair com Anitta e Bad Bunny a América Latina vai parar  https://t.co/9EPg8V9E1j,Positive
eu falando com fãs da anitta,Positive
"@cogeloachiste Fico tão triste que uma pessoa horrosa e criminosa dessa vai ganhar visibilidade, @Anitta meu anjo na próxima vez escolhe um ator gay masculino pra contracenar com vc viu, sei que vc não tem culpa pelas atitudes desse Yuri porém só pra garantir mesmo kk🙏",Positive
"@flamenrsgo @valerioQBF @futebol_info Ariana flopada no icon, nunca será Anitta",Positive
"Macho escroto esse, @Anitta podia rever pra quem vai dar mídia!😑🤮",Negative
@aIbertzin @siteptbr Isso seria um bem pra humanidade kkkkkkkkkkk e a boqueteira anitta da 17 🎵🎵,Negative
é a primeira música da anitta que fica mais popular entre os héteros né?,Positive
"@siteptbr Dão palco pra esses who por ter um corpinho malhado e o resultado é esse kkkk anitta nunca erra as pessoas lixo, incrível",Negative
@onlytiago_ @ludmonet Mudou o disco? Kkkkkk menos em um único show a Ludmilla coloca o dobro de pessoas que a a anitta,Negative
"agora sim!!! Anitters brigando com as latinas ww, agora gostei… anitta tem que ser comparada e ultrapassar tais artistas, e não os br https://t.co/0tWkPw7z3x",Positive
isso vai cair nas costas da anitta n duvido nada https://t.co/hGKxBFhTWE,Negative
@kauxblvd O cara que a Anitta mamou no clipe da mais recente bomba atômica que ela lançou,Negative
A CARREIRA INTERNACIONAL DA ANITTA VSFFFFFFF,Negative
a anitta assim no off,Negative
A anitta é a melody da xuxa?,Negative
"se a anitta ver isso, no próximo clipe dela esse daí vai fazer um fisting nela",Negative
"@forumpandlr não me surpreende pan, é só os desse naipe que anda com a anitta e que ela m4m4",Negative
@expositou @alfonsolacruzz @Anitta @QGdaAnitta mostra não qg esconde,Negative
"Pra ter ideia, tem:
Anitta
Ludmila 
Alcione 
Jads e Jadson 
Luisa Sonsa 
Ariana Grande 
Taylor Swift
Beyoncé 
Baco 
Ana Castela
Thiago Pantaleão 
Eminem 
Mariah Carey
Glória Groove 
Pabllo Vittar
Doja Cat
Olivia Rodrigo 
Bonde das Maravilhas
E muitos outros cantores",Positive
@forumpandlr um dia desses ele deu entrevista dizendo que a carreira dele tava dando um up por ter aparecido no clipe da anitta e agora já vai jogar na lama a carreira que nem começou por ser homofóbico e eu acho é pouco,Negative
"@forumpandlr @Anitta vem cá, e essa homofobia em pleno mês LGBTQIA+??? https://t.co/gPLFBQqa2V",Negative
@lenypiper @alfonsolacruzz @Anitta e agora o que faço com o fato de não existir 😭,Positive
@viralizeiii @mahbbrnd @leavemelon3ly qm passa vergonha aqui é a anitta tendo q lamber pau pra ganhar view e msm assim apanhando no global ate pra ana castela,Negative
"o quão lgbt cult br 🇧🇷 você é?

Alcione ✅ 
Anitta ✅
Ludmilla 🚫
Claudia Leitte 🚫
Daniela Mercury ✅
Margareth Menezes ✅
Ivete Sangalo  ✅
Zélia Duncan ✅
Ana Carolina ✅
IZA ✅
Pabllo Vittar 🚫
Sandy 🚫 
Glória Groove✅
Bethânia ✅
Gal Costa ✅
Joelma 🚫
Wanessa Camargo 🚫",Positive
@fentymafiosa @_geygomess não foi esse show que a anitta trocou o lugar por que as vendas encalharam?,Negative
"@leiatheinvestor Alô malditos
@anterogreco 
@Anitta 
@LucianoHuck 
@Ludmilla 
@GretaTumberg 
@MarkRuffalo 
@LeoDiCaprio 

A Amazonia está queimando
Desgraçados
Cadê VCS",Negative
@onlytiago_ @blindsoty o problema de ser fã o da olivia é pq ela foi best new artist e a anitta não? kkk https://t.co/2Hy8QPcR6D,Negative
anitta sempre contribuindo e colocando gente otaria na midia,Negative
"Apesar de tudo, um dia eu queria ver e escutar a Anitta cantar  Shallow!",Positive
"""Anitta tá focada no álbum dela"" mas a música é dele ue kkkk ela só participaria e ta ok gente plmds praq esse auê todo",Positive
"Yuri Meirelles, modelo do clipe de ""Funk Rave"", de Anitta, tem comportamento agr*ssivo ao receber DM de rapaz: ""E aí o que, meu parceiro? Tenho cara de v*ado?"".👀🚨 https://t.co/Gq5xhjxRCn",Negative
@forumpandlr E a Anitta nem Mamou ele.. se manca rapaz!,Negative
"@clovanitta ai amigo é a minha msc preferida da anitta enquanto tds ja tao de saco cheio e to escutando ainda, ainda nao superei 😔🫂",Positive
@forumpandlr E ainda dizem que a Anitta não é ministra do turismo sexual sendo que a única coisa que esse boy ganhou foi um bando de viado no cio e uma proposta pra entrar no irmão dotados,Negative
"Transar ao som de funk have da Anitta, gostoso demais 😈😈😈🍆👄",Positive
"@forumpandlr Afff, olha p quem a Anitta da palco",Negative
@_LucasEstevao_ @Anitta Já estou garantida… tremendo a raba e tudo!,Positive
"@getwreird @forumpandlr Agr pronto, oq a Anitta tem a ver kkkkk",Negative
Porra @Anitta vê se escolhe direito teus macho caralho,Negative
essa música nova da anitta funk rave foi uma das piores coisas q eu já ouvi,Negative
"@iBlogueirinha sim blo,anitta não faria isso com a carreira dela",Positive
e isso uma beijo da anitta😄🫶🏻😍💋,Positive
"@vinnywithy @AcessoAnittaR @alfonsolacruzz @Anitta Amor acorda para vida ,álbum só em 1 ano ,se for para esse remix sair é por esse mês ou próximo mês",Negative
@junnixr @forumpandlr a anitta não conhecia ele,Negative
ela querendo provocar a anitta,Negative
@tiffanylndr @forumpandlr ah c ctz ele faz um clipe com a Anitta e ele jura q só vai ter gostosa chamando ele na dm…. faz favor…. ele eh só homofóbico mesmo. e p raiva dele eh bem padrão das gays kkkkkkkkkkkkkkk,Negative
"VAMOS LÁ NÉ GALERINHA… vamos parar de pedir remix, discutir com haters e fazer o que realmente importa…
#FUNKRAVE #ANITTA 
 https://t.co/cb3au4GBR9",Positive
"Pq swifts tanto ódio da Anitta? Ela NN vai comer vcs.
A Anitta é tão relevante pra eles que eu fico de caraaaa https://t.co/h19v4eBEkB",Positive
"@mari_meireles SIM, nossa me mordo com isso, cara. Anitta errou MUITO",Negative
"o quão lgbt cult br 🇧🇷 você é?

Alcione✅️
Anitta ❌
Ludmilla ✅
Claudia Leitte ❌
Daniela Mercury ❌️
Margareth Menezes❌
Ivete Sangalo  ❌
Zélia Duncan ❌
Ana Carolina ❌
IZA❌
Pabllo Vittar ❌
Sandy ❌️
Glória Groove ❌
Bethânia ❌
Gal Costa ❌
Joelma ❌️",Negative
"@alfonsolacruzz @AcessoAnittaR @Anitta Nos queremos muito, vi no YouTube cara 😍",Positive
@aniweeknd @ludmonet @onlytiago_ Qualquer um da anitta? Sim,Positive
Anitta assinado a carteira de trabalho de homofóbicos,Negative
"@darlingdarkn3ss @forumpandlr exatamente olha o insta dele q veja quantas famosas seguem, só a anitta mesmo...",Negative
"É triste eu abrir o twitter e ver isso logo no mês do orgulho. 
Anitta.",Negative
"@SpliSouth Da onde tu tirou isso?
Foi o contrário, Anitta disse que não tem remix nenhum! 

Ela apenas gostou da música e por isso havia postado..",Positive
@siteptbr @Anitta Da próxima vez contrate um boy gostoso mas que tenha educação!,Negative
"@siteptbr É claro né, anda com a Anitta esperava oq?",Negative
"@forumpandlr Entrou pra mídia por causa da Anitta, porque se não fosse ela, ninguém iria saber quem é ele. 
Agora recebe um e aí no direct e começa a dar show?! 🤣🤣",Negative
A divulgação pesadíssima da Freaks esse sábado entre os fãs da @Anitta 🔥,Positive
@forumpandlr e a anitta mamou essa merda ainda aquela piranha,Negative
@alfonsolacruzz @Anitta Poxaaaa que música gostosa!! @Anitta cuida mulher se joga nesse reggaeton.,Positive
@siteptbr Homofóbico igual a Anitta,Negative
"@splitfloat Se até a Anitta pode ser famosa, qualquer um consegue gerenciando bem.",Negative
"@forumpandlr @Anitta @QGdaAnitta  SE TIVER MAIS PARTICIPAÇÕES EM CLIPES, CANCELA",Negative
"Gente não vou fica mais aqui sério não consigo mais, voltarei quando tive algo muito importante da Anitta https://t.co/kQVzDC3TEJ",Positive
@QGdoPOP já tá valendo mais que toda a discografia da anitta,Negative
Kinga demais,Positive
"o quão lgbt cult br 🇧🇷 você é?

Alcione✅️
Anitta ❌
Ludmilla ✅
Claudia Leitte ❌
Daniela Mercury ❌️
Margareth Menezes❌✅
Ivete Sangalo  ✅✅
Zélia Duncan ✅
Ana Carolina ✅✅✅
IZA✅️
Pabllo Vittar ✅
Sandy ✅❌
Glória Groove ✅
Bethânia ✅️❌
Gal Costa ✅️✅
Joelma ❌",Negative
Vai ser incrível essa Freaks Especial Anitta 🔥🔥🔥,Positive
bj da anitta https://t.co/bwsgnXnjDt,Positive
@siteptbr Tinha q ter o dedo podre da Anitta no meio,Negative
"@forumpandlr aff, por isso a anitta flopou",Negative
@Dojaeanitta @QGdoPOP e dando outstream em tudo da doja e da anitta somados,Positive
"Nesse post temos 4 desempregados, que obviamente são excluídos da sociedade,com certeza 4 tonhoes  feios barangos. Que tem o intuito de denegrir a imagem da Anitta, mais que no final só deixam o nome dela mais relevante ainda...obg hatesss vcs tbm são de grande ajuda😍🙌 https://t.co/E2SvicsQGi",Positive
penso uma coisa.. exemplo: se vc n gst da msc da anitta ent é só n seguir ou falar dela. se vc participa de ft é só sdv um fã dela e silenciar p n ver nd 🤷‍♂️,Positive
@forumpandlr Vocês tinham dúvidas? Pra andar com A anitta bozoloide quer o que???,Negative
"@pray__att mas gente nenhum single solo internacional da anitta fez sucesso no começo até agora, ela tem que trabalhar o single e a divulgação como um todo, não tem pq estar triste, funk rave ta fazendo melhor q qualquer single solo q ela lançou até hj nos primeiros dias. esses “fãs”….",Positive
"a anitta tem dedo podre mesmo, tadinha",Negative
"@accraffa @siteptbr Mas amor,como vc pode culpar a Anitta por uma coisa que não tem nem haver com ela? O cara é hétero,não gosta de viad0,a bicha vai lá atrás de pica toma o feche e a culpa é da Aninha?? Vai se fuder",Positive
@siteptbr Anitta é podre e ainda por cima chama as imundície da família dela,Negative
@QGdoPOP e a porca da anitta qg? tá a venda?,Negative
"Sou assim, não vou mudar!  Por mim tanto faz tanto fez bjs da anitta",Positive
@forumpandlr A gentalha da Anitta dando fama pra gentinha. PQP!,Negative
"@froescry @choquei Myco, a Anitta é mais conhecida internacionalmente que essa tal de Beyoncé.",Positive
"@forumpandlr Puts a Anitta não acerta nunca
Uma pena pra essa querida",Negative
@erinittx_ @isissw1ft @forumpandlr tenho dó dos cachorros da anitta,Negative
@cariocanitter @choquei Confundiu com a anitta que mesmo depois das mil acusações sobre o nego do borel continuou best dele,Negative
"@siteptbr Em pensar que ele vai aparecer no outro clip da @Anitta  novamente na continuação do funk rave . Corta ele kkk . Ainda temos tempo , Anira !!!! não deixa esse lixo , porfa ! chega de visibilidade desse ser",Negative
Mds Anitta não tem 1 minuto de paz na droga desse Twitter,Positive
anitta como sempre dando fama para os piores tipos de pessoas,Negative
pq tão atacando a anitta por causa q um homem foi homofóbico ? povo sem noção,Positive
"@pray__att A da emilaia com a lud não teve 1/3 do marketing, divulgação e playlist por isso não foi flop ao contrário da Anitta, mas pra vc entender isso é meio complicado",Negative
"@forumpandlr ridiculo homofobico e provavelmente transfobico também, que inconsequente a anitta por um ser desses tão enrustido em um clipe global, sou anitter mas tem horas que não da pra defender, que cara estúpido mal resolvido, aposto q se pagar ele sai !",Negative
"E estão surpresos pq?
O nincho de amizades da anitta a maioria tem crimes.",Negative
"Pessoal de Recife, neste sábado (01) tem festa no @FreaksProducoes com tema de “Funk Rave”.

Esperamos vocês lá. 🔥 https://t.co/8sMNqTyTod",Positive
"anitta sempre abrindo caminho pra gente preconceituosa e que não merece crescer, parabéns",Negative
@forumpandlr tinha que vim da anitta,Negative
